,user_screenname,tweet_text
74,straits_times,"Drunk lawyer jailed for 4 weeks, fined for assaulting cabby who declined to pick him up https://t.co/hjlLdtW6gl"
75,straits_times,"93 new locally transmitted Covid-19 cases in S'pore, including 29 unlinked; 4 imported cases https://t.co/2JkGaxL3nJ"
76,straits_times,"Those vaccinated with Sinovac, Sinopharm, AstraZeneca, Covishield and J&J shots will be eligible for differentiated… https://t.co/e6uxllSirY"
77,straits_times,"Work pass holders, dependants from higher-risk places allowed to enter S'pore from Aug 10 if fully vaccinated: MOH https://t.co/L6zZqGWQQC"
78,straits_times,"Workers in healthcare, F&B, public sector must be vaccinated or do Covid-19 self-test from Oct 1 https://t.co/dFcvkPHUDh"
79,straits_times,Up to half of employees can return to their workplace from Aug 19: MOH https://t.co/NPlTaVCQQj
80,straits_times,"8 Covid-19 cases in critical condition, 6 of whom are unvaccinated or partially vaccinated https://t.co/ALi4I0sJbQ"
81,straits_times,"16 Covid-19 cases among healthcare staff, patients between July 28 and Aug 3 https://t.co/tBh6n1mBXM"
82,sporeMOH,"As of 6 Aug 2021, 12pm, we have preliminarily confirmed that there are 93 new cases of locally transmitted COVID-19… https://t.co/m3Cvf2bdXZ"
83,STForeignDesk,Japan Covid-19 cases hit 1 million as infections spread beyond Tokyo https://t.co/xFP3LCPfj0
84,straits_times,RT @STForeignDesk: Japan Covid-19 cases hit 1 million as infections spread beyond Tokyo https://t.co/xFP3LCPfj0
85,ChannelNewsAsia,93 new locally transmitted COVID-19 cases in Singapore; including 29 unlinked https://t.co/H89TgG1iqO https://t.co/J60YaKYbni
86,TODAYonline,"Covid-19: Border controls for fully vaccinated travellers, work pass holders and dependants to be relaxed… https://t.co/wBPQ0nvcz4"
87,ChannelNewsAsia,Some employees to undergo 'vaccinate or regular test' regime for COVID-19 from Oct 1 https://t.co/OfMIrNtzq3 https://t.co/6CCjUiRPA4
88,TODAYonline,"Covid-19: Fully vaccinated individuals can gather in groups of up to 5, dine in at F&B outlets from Aug 10… https://t.co/z6x1HRbDv8"
89,historyogi,"RT @owasow: Sci-fi taught me that when the whole earth is attacked by space invaders, all of humanity will unite to fight back. 

Covid tau…"
90,TODAYonline,"93 new locally transmitted Covid-19 cases in Singapore, including 29 unlinked infections https://t.co/R9fPMTKMSd https://t.co/uTqusA5UO8"
91,TODAYonline,"Covid-19: Those getting any WHO-approved vaccine including Sinovac to be treated as fully vaccinated for dining in,… https://t.co/6QTG8yQIi2"
92,MothershipSG,The latest Covid-19 updates w.e.f. from Aug 10. https://t.co/MoOup6NQT9
93,straits_times,ST LIVE: Covid-19 rules to be relaxed for fully vaccinated people from Aug 10 https://t.co/Jg2N3OlBqc
94,mrbrown,https://t.co/bsPG1GAu02 Aaaaand I already called and booked my favourite izakaya.
95,historyogi,RT @deweysim: JUST IN: Singapore will ease some restrictions next Tuesday (Aug 10). Vaccinated individuals will be able to dine out and gat…
96,historyogi,"RT @deweysim: MORE: Singapore will recognise vaccines approved under WHO's Emergency Use Listing, including Sinovac, Sinopharm and AstraZen…"
97,historyogi,"""As of Aug 5, 78 per cent of Singapore’s population have received at least one dose of a COVID-19 vaccine under the… https://t.co/b37Ihnegtm"
98,straits_times,"Dine in to resume, more can work from office: All about Singapore's 2-step easing of Covid-19 rules https://t.co/rUf1Et2OWU"
99,STForeignDesk,Taiwanese still hesitant on receiving domestically developed Covid-19 vaccines https://t.co/ddIYOU9ZE1
100,STForeignDesk,"More Malaysians unhappy with handling of Covid-19, PM Muhyiddin's ratings dip: Poll https://t.co/WmJ3yOvPiE"
101,straits_times,RT @STForeignDesk: Taiwanese still hesitant on receiving domestically developed Covid-19 vaccines https://t.co/ddIYOU9ZE1
102,straits_times,"RT @STForeignDesk: More Malaysians unhappy with handling of Covid-19, PM Muhyiddin's ratings dip: Poll https://t.co/WmJ3yOvPiE"
103,TODAYonline,"AT A GLANCE: Here are the safe management measures that will be implemented from next Tuesday (Aug 10).

Read the f… https://t.co/qG3j8iVj9u"
104,TODAYonline,"RT @SenToday: In the past 28 days, 8 out of 80 people who were seriously ill and required ICU beds were fully vaccinated. SG has a 1,000 be…"
105,mrbrown,Just get vaccinated. https://t.co/0Uf6kxMILL
106,HweeMinCNA,"This also applies to social gatherings and household visitors, and kids under 12 who can’t get vaccinated yet can b… https://t.co/9BzkPht4iv"
107,HweeMinCNA,"If you’re unvaccinated or still waiting for your second dose to kick in, you can eat at hawker centres and coffee shops in groups of 2 👭🏻"
108,straits_times,Evening Update: Today's headlines from The Straits Times on Aug 6 https://t.co/6ndVs4cAFS
109,HweeMinCNA,"For solemnisation ceremonies, you can host up to 500 guests from Aug 10 if everyone attending is fully vaxxed. This… https://t.co/9qPGXNyL7f"
110,HweeMinCNA,"If not everyone is vaccinated, then the limit is 50 attendees without pre-event testing"
111,TODAYonline,WATCH: Singapore's Jonathan Chan came in 26th out of 29 divers in the men’s 10m platform preliminary round at the… https://t.co/8VVN020Vuq
112,STForeignDesk,"RT @Tan_Hui_Yee: #Singapore has “engaged across the political spectrum in #Myanmar”, says foreign minister @VivianBala 
But he advises agai…"
113,ChannelNewsAsia,"Dining in, indoor mask-off gym classes: Here's what can you do come Aug 10 if you're fully vaccinated - and that in… https://t.co/eSKhQynmzS"
114,HweeMinCNA,"This next phase of Singapore’s reopening is the “preparatory stage”, with two steps of easing measures on Aug 10 an… https://t.co/EKxZBXaY1N"
115,straits_times,"RT @Tan_Hui_Yee: Singapore foreign minster @VivianBala ""We hope that the assistance provided to #Myanmar will reach the people on the groun…"
116,straits_times,"RT @Tan_Hui_Yee: Singapore foreign minister @VivianBala on #WhatsHappeningInMyanmar ""#Singapore believes very firmly that there should be n…"
117,STForeignDesk,"RT @Tan_Hui_Yee: Singapore foreign minster @VivianBala ""We hope that the assistance provided to #Myanmar will reach the people on the groun…"
118,STForeignDesk,"RT @Tan_Hui_Yee: Singapore foreign minister @VivianBala on #WhatsHappeningInMyanmar ""#Singapore believes very firmly that there should be n…"
119,straits_times,Migrant workers belt out national anthem in video to celebrate S'pore's 56th birthday https://t.co/41w1UKqhqy
120,straits_times,Maid jailed for stealing over $32k from employer to build house in home town of Philippines https://t.co/1iOKTe5kYx
121,sporeMOH,"From 10 Aug, the social gathering group size limit will rise from 2 to 5 persons & the cap of 2 distinct visitors p… https://t.co/WUqMYLQg5B"
122,sporeMOH,"From 10 Aug, fully-vaccinated persons may participate, in grps of up to 5 persons, in higher-risk activities where… https://t.co/Tcue7kg0bn"
123,sporeMOH,"Unvaccinated persons will be required to undergo regular testing from 1 Oct 2021. Beyond that, any unvaccinated per… https://t.co/Yopa3wzjwf"
124,TODAYonline,4-stage road map to transit Singapore to ‘Covid-19 resilient nation’: Ong Ye Kung https://t.co/hegvoMPa88 https://t.co/b3gZTNaObT
125,STForeignDesk,"Don’t set unrealistic expectations for Asean envoy to Myanmar, says Singapore foreign minister https://t.co/rK5uAOLur1"
126,straits_times,Grant extended for hawkers to defray food delivery costs: Amy Khor https://t.co/MwSh9rIECE
127,straits_times,Fully vaccinated travellers from eight more countries can serve SHN at home from Aug 20: MOH https://t.co/CSkQgCw3CU
128,straits_times,"RT @STForeignDesk: Don’t set unrealistic expectations for Asean envoy to Myanmar, says Singapore foreign minister https://t.co/rK5uAOLur1"
129,MothershipSG,TraceTogether & SafeEntry are tools that helped S'pore fight against Covid-19: Josephine Teo https://t.co/hOn90PkUGC https://t.co/fSTT6uFauf
130,TODAYonline,"Early signs COVID-19 vaccines may not stop Delta transmission, England says https://t.co/gd6hcgbISY https://t.co/EMm7TgH69I"
131,TODAYonline,"StarHub finds personal information of more than 57,000 customers on third-party data dump site… https://t.co/QqOwJFHUns"
132,TODAYonline,Seven die after outbreak of Colombian variant of Covid-19 at Belgian nursing home https://t.co/p9a6fPTJb9 https://t.co/2jPGDOijpq
133,MothershipSG,UPDATED infographic on the latest Covid-19 updates w.e.f. from Aug. 10. https://t.co/gupQQk2EIN
134,ChannelNewsAsia,Vaccinated or not: What you can do when COVID-19 measures ease from Aug 10 https://t.co/kX2HsbcOP7 https://t.co/u4fLZb6PEy
135,straits_times,None of the children infected with Covid-19 require oxygen support or are in the ICU: Kenneth Mak https://t.co/InYZ8EgqGS
136,ChannelNewsAsia,"367 children in Singapore infected with COVID-19 so far, including 172 with Delta variant https://t.co/6KooQMYIcT https://t.co/Fzk1DCqtx7"
137,straits_times,"Committee to look into better protection of delivery riders, private-hire drivers and cabbies https://t.co/2mnt8GksKN"
138,straits_times,"Four vaccination centres to close down in end-Sept, but more clinics to offer jabs, says Janil https://t.co/JFlYqcEgz0"
139,straits_times,"Mediation a 'first, necessary' step to tackle workplace discrimination, even with new laws on horizon: Koh Poh Koon https://t.co/sb8S7L2XOh"
140,straits_times,Singapore's ability to forecast rainfall will get a boost by the first quarter of 2022 https://t.co/6bOYhsCZIJ
141,TODAYonline,"WATCH LIVE: Parliament debates motions on securing Singaporeans’ jobs and livelihoods, and foreign talent policy https://t.co/ziZP03NivP"
142,TODAYonline,No plans to make Covid-19 vaccine compulsory yet as S’pore’s vaccination rate already high: Janil https://t.co/Z8KMAhkZRn
143,ChannelNewsAsia,Singapore's PayNow to link with India's Unified Payments Interface in 2022 https://t.co/hVoOucWRop https://t.co/0KIx0706Um
144,leehsienloong,Glad to welcome PRC State Councilor & Foreign Minister Wang Yi to the Istana this morning. We discussed global & re… https://t.co/fdtU2cc4MA
145,TODAYonline,No plans yet to make Covid-19 vaccine compulsory given Singapore’s high inoculation rate: Janil https://t.co/Z8KMAhkZRn
146,TODAYonline,Man convicted of murdering ex-wife at ITE College Central’s car park over matrimonial assets https://t.co/Fe11mRDrVk
147,straits_times,"ITE College Central murder: Retiree admits stabbing ex-wife, prosecutors 'not objecting' to life term https://t.co/u6r0RAnv7I"
148,TODAYonline,"Finance Minister Lawrence Wong had tabled a motion on securing Singaporeans’ jobs and livelihoods, while Non-Consti… https://t.co/MmG6JDYmgq"
149,STForeignDesk,Mauritius battles Covid-19 explosion ahead of tourism reopening https://t.co/ebeOlNcbx2
150,straits_times,RT @STForeignDesk: Mauritius battles Covid-19 explosion ahead of tourism reopening https://t.co/ebeOlNcbx2
151,ChannelNewsAsia,Singapore studying possibility of non-mRNA vaccines for #COVID19 booster shots: Janil Puthucheary… https://t.co/2x0FwSd43y
152,ChannelNewsAsia,Philippines to test localised COVID-19 lockdowns in capital region https://t.co/P3m4PmwKql https://t.co/yrh8cPGPSe
153,straits_times,"No plans to further raise Local Qualifying Salary beyond $1,400 for now: Zaqy Mohamad https://t.co/zKHBNZ8qPQ"
154,straits_times,'My stomach churns every time': President Halimah calls for more protection against paedophiles https://t.co/eXtrg9mSzL
155,straits_times,Prime Minister Lee Hsien Loong receives China's Foreign Minister Wang Yi at Istana https://t.co/wKBJMTLAYX
156,straits_times,12 men charged in $9.7m cheating case https://t.co/pvXx5ef931
157,TODAYonline,China races to squash new Covid-19 cluster among schoolchildren https://t.co/n3NHYtaYjf
158,STForeignDesk,Japan overtakes US on Covid-19 vaccination after starting months later https://t.co/IiLHJunFBd
159,straits_times,RT @STForeignDesk: Japan overtakes US on Covid-19 vaccination after starting months later https://t.co/IiLHJunFBd
160,STForeignDesk,Philippines to test localised Covid-19 lockdowns in capital region https://t.co/Fv4tp2jYIz
161,straits_times,NTU invention can prevent lithium-ion battery fires in PMDs and other devices https://t.co/mOOU5IQd9f
162,straits_times,Notable women in S'pore share personal stories to show girls they can achieve their dreams https://t.co/VJhZOcgH8t
163,straits_times,RT @STForeignDesk: Philippines to test localised Covid-19 lockdowns in capital region https://t.co/Fv4tp2jYIz
164,ChannelNewsAsia,China's Foreign Minister Wang Yi and Singapore's PM Lee affirm 'excellent' relations https://t.co/USswyT5HWr https://t.co/Rk3K0m5y2k
165,minlawsg,The Rental Waiver Framework seeks to help businesses that have been impacted by Phase 2 (Heightened Alert). Here’s… https://t.co/AZXx49q467
166,ChannelNewsAsia,RT @ChannelNewsAsia: Embark on an exotic ‘trip’ to Morocco – right here in Singapore https://t.co/YeOGUf72pr https://t.co/Vmg81tfjUG
167,minlawsg,"The Rental Waiver Framework seeks to help businesses that have been impacted by Phase 2 (Heightened Alert).

Find o… https://t.co/caY2rB0GHG"
168,TODAYonline,"The Online Citizen must disable website, accounts by Sept 16, after licence suspended for failure to declare fundin… https://t.co/Z1VMEWzOsm"
169,kixes,The Infocomms Media Development Authority has ordered @tocsg to suspend its operations in two days' time. If TOC do… https://t.co/Z7Hfstq9HY
170,TODAYonline,"Clear evidence that Govt’s economic policies help to raise living standards, create many good jobs for Singaporeans… https://t.co/jiEU9AAfib"
171,straits_times,"IMDA suspends The Online Citizen's class licence, website told to stop posting content by Sept 16 https://t.co/wPSxiEwfvR"
172,STForeignDesk,South Korea's GL Rapha to ship out 10 million Sputnik Light Covid-19 shots this month https://t.co/taExCT6Xqp
173,straits_times,RT @STForeignDesk: South Korea's GL Rapha to ship out 10 million Sputnik Light Covid-19 shots this month https://t.co/taExCT6Xqp
174,TODAYonline,"WATCH: PSP’s thinking that jobs taken away from foreigners will go to Singaporeans is “fatally flawed”, said Financ… https://t.co/AwjDzyueQo"
175,kixes,"@tocsg If you're alarmed by this, I recommend you read the Foreign Interference (Countermeasures) Bill and see what… https://t.co/Hizw32JFRi"
176,TODAYonline,Man jailed 1 year for snatch theft of elderly coffee shop assistant’s gold necklace https://t.co/QAZoaHBJHF
177,straits_times,"S'pore will continue to address downsides of open economy, help displaced workers: Lawrence Wong https://t.co/YQVZUHqm2J"
178,TODAYonline,Popular Netflix series sparks new debate over South Korea's military conscription https://t.co/ffQ6JpdWNX
179,historyogi,RT @Karan_Singhs: Breaking: India's top science agency tailored its Covid-19 findings to fit Prime Minister Narendra Modi's narrative on th…
180,TODAYonline,"British woman spends S$7,400 yearly on pigeons so they have their own room, outfits and special stroller https://t.co/uQg3MPe0Gs"
181,TODAYonline,Supervised Covid-19 self-tests for MPs before each Parliament sitting: MOH https://t.co/3pdYq0KKU2
182,TODAYonline,Man jailed 1 year for snatch theft of 72-year-old coffee shop assistant’s gold necklace https://t.co/QAZoaHBJHF
183,TODAYonline,MPs to undergo supervised Covid-19 self-tests before each Parliament sitting https://t.co/3pdYq0KKU2
184,TODAYonline,No plans yet to make Covid-19 vaccine compulsory given Singapore’s high inoculation rate: Puthucheary https://t.co/FPY0n0TKw4
185,TODAYonline,"Meet Rozy, South Korea’s first virtual human influencer based on AI that has landed over 100 sponsorships https://t.co/1mhRs85mQ4"
186,straits_times,"S'pore's open economy has created, not lost, more good jobs for Singaporeans: Lawrence Wong https://t.co/wx8ygrj9Nm"
187,TODAYonline,WATCH: Siggi the puppy was born with upside-down front paws. After surgery at Oklahoma State University's Veterinar… https://t.co/2bJywQ3Xa6
188,TODAYonline,Using data to better treat eye diseases such as myopia https://t.co/gLaG59GTdF
189,straits_times,KTV cluster officially closed on Sept 8 with 253 cases https://t.co/RlTxw7TPev
190,TODAYonline,Feline generous: Japan cat lovers give S$2.7 million to kidney research https://t.co/Biwg0sDlUz
191,STForeignDesk,Malaysia passes 2 million mark for Covid-19 cases as it prepares to reopen the economy https://t.co/O0KU2jUdcF
192,straits_times,RT @STForeignDesk: Malaysia passes 2 million mark for Covid-19 cases as it prepares to reopen the economy https://t.co/O0KU2jUdcF
193,ChannelNewsAsia,Putin to self-isolate due to COVID-19 among inner circle https://t.co/3Et4fPZcuk https://t.co/hD9px4Rc7V
194,ChannelNewsAsia,"Man fined for providing karaoke services, alcohol without valid licence, breaching COVID-19 regulations… https://t.co/wA4JTYEhXr"
195,TODAYonline,Food stall owner got daughter’s maids to work for him illegally; one had 4 fingers severed in accident https://t.co/8ECdiJBex5
196,MothershipSG,"M'sian man, 40, loses elderly mother, 80, to Covid-19 despite borrowing 8 oxygen tanks for her… https://t.co/4rsoJqdH4y"
197,MothershipSG,Step-by-step guide: What to do if you're a notified close contact of a Covid-19 case https://t.co/SVANulPs8q https://t.co/7bieSiwTnH
198,straits_times,Home recovery to be default from Sept 15 for bulk of vaccinated people who get Covid-19: MOH https://t.co/EBDsjWPgMD
199,STForeignDesk,Fujian's outbreak with 139 Covid-19 cases tests China's zero-tolerance approach https://t.co/ViFSlr8gw6
200,straits_times,"PSP pitches higher minimum salaries for foreign workers, 'nationality cap' in motion on jobs and livelihoods https://t.co/EGqDGrhbn6"
201,straits_times,RT @STForeignDesk: Fujian's outbreak with 139 Covid-19 cases tests China's zero-tolerance approach https://t.co/ViFSlr8gw6
202,MothershipSG,Step-by-step guide: What to do if you test positive for Covid-19 in S'pore https://t.co/3u1J528SyK https://t.co/fjyRjYQtn3
203,straits_times,"Jail for man who left lit cigarettes on top of bed frame in hotel room, causing a fire https://t.co/8DrWXO77fl"
204,STForeignDesk,Bali tourism industry looking for uptick after Covid-19 restrictions eased https://t.co/Y49DTjsUfO
205,STForeignDesk,Indian study finds big drop in Covid-19 antibodies within four months of vaccination https://t.co/ma61BfOqhk
206,straits_times,RT @STForeignDesk: Bali tourism industry looking for uptick after Covid-19 restrictions eased https://t.co/Y49DTjsUfO
207,straits_times,RT @STForeignDesk: Indian study finds big drop in Covid-19 antibodies within four months of vaccination https://t.co/ma61BfOqhk
208,straits_times,RT @STsportsdesk: Football: Geylang International player tests positive for Covid-19; match postponed https://t.co/SI2CDPy9gz
209,TODAYonline,Myanmar's Suu Kyi back in court after health no-show https://t.co/jkn9k0itrR
210,ChannelNewsAsia,"UK delays post-Brexit border checks, citing COVID-19 impact https://t.co/tYoqge3KIe https://t.co/yFDGAO3dEX"
211,stbusinessdesk,"SMEs urged to seek new opportunities, develop workforce to survive Covid-19 https://t.co/mhQq0x5oo3"
212,straits_times,"RT @stbusinessdesk: SMEs urged to seek new opportunities, develop workforce to survive Covid-19 https://t.co/mhQq0x5oo3"
213,TODAYonline,This New Pic Of Blackpink’s Lisa Really Looks A-Mei In 1998 https://t.co/941ppSwJCr
214,asonofapeach,"Bayangkan. Dengan orang sesama sekolah elit dia boleh pandang rendah, apetah lagi kita yang dari sekolah kejiranan?… https://t.co/zDlc7uJIxW"
215,ChannelNewsAsia,Work pass privileges suspended after Singapore Ambulance Association failed to pay COVID-19 vaccinators… https://t.co/q0C59qIy0A
